[TID]               [Nom]               [Début]            [Fin]               [Durée Totale]
140223300236864     table               17:49:18            17:49:19            400ms
140223419758144     coupe               17:49:18            17:49:19            400ms
140223436543552     chandelier          17:49:18            17:49:19            1000ms
140223453328960     table               17:49:19            17:49:19            400ms
140223428150848     coupe               17:49:19            17:49:19            400ms
140223411365440     chandelier          17:49:19            17:49:19            400ms
140223300236864     coupe               17:49:19            17:49:19            400ms
140223444936256     bague               17:49:19            17:49:19            601ms
140223436543552     epee                17:49:19            17:49:19            401ms
140223453328960     bague               17:49:19            17:49:20            601ms
140223419758144     epee                17:49:19            17:49:20            601ms
140223428150848     table               17:49:19            17:49:20            601ms
140223411365440     epee                17:49:19            17:49:20            601ms
140223444936256     coupe               17:49:19            17:49:20            600ms
140223436543552     bague               17:49:20            17:49:20            400ms
140223428150848     bague               17:49:20            17:49:20            393ms
140223419758144     chandelier          17:49:20            17:49:20            594ms
140223300236864     epee                17:49:19            17:49:21            1201ms
140223419758144     bague               17:49:20            17:49:21            200ms
140223453328960     epee                17:49:20            17:49:21            1201ms
140223428150848     epee                17:49:20            17:49:21            800ms
140223419758144     table               17:49:21            17:49:21            200ms
140223300236864     coupe               17:49:21            17:49:21            600ms
140223411365440     chandelier          17:49:20            17:49:21            1202ms
140223444936256     chandelier          17:49:21            17:49:21            801ms
140223419758144     porte               17:49:21            17:49:21            200ms
140223436543552     chandelier          17:49:20            17:49:22            1602ms
140223300236864     porte               17:49:21            17:49:22            400ms
140223453328960     chandelier          17:49:21            17:49:22            799ms
140223411365440     coupe               17:49:21            17:49:22            400ms
140223436543552     table               17:49:22            17:49:22            200ms
140223444936256     bague               17:49:21            17:49:22            600ms
140223300236864     epee                17:49:22            17:49:22            200ms
140223411365440     porte               17:49:22            17:49:22            200ms
140223428150848     bague               17:49:21            17:49:22            1201ms
140223453328960     epee                17:49:22            17:49:22            400ms
140223419758144     bague               17:49:22            17:49:22            800ms
140223444936256     coupe               17:49:22            17:49:22            400ms
140223436543552     bague               17:49:22            17:49:23            600ms
140223428150848     bague               17:49:22            17:49:23            600ms
140223453328960     bague               17:49:22            17:49:23            600ms
140223444936256     chandelier          17:49:23            17:49:23            600ms
140223419758144     table               17:49:22            17:49:23            800ms
140223436543552     epee                17:49:23            17:49:23            600ms
140223411365440     table               17:49:22            17:49:23            1201ms
140223428150848     epee                17:49:23            17:49:24            600ms
140223300236864     table               17:49:22            17:49:24            1601ms
140223453328960     table               17:49:23            17:49:24            600ms
140223444936256     bague               17:49:23            17:49:24            800ms
140223419758144     chandelier          17:49:23            17:49:24            800ms
140223436543552     table               17:49:23            17:49:24            800ms
140223300236864     epee                17:49:24            17:49:24            600ms
140223411365440     bague               17:49:24            17:49:24            800ms
140223453328960     porte               17:49:24            17:49:24            400ms
140223428150848     bague               17:49:24            17:49:25            1001ms
140223419758144     coupe               17:49:24            17:49:25            400ms
140223444936256     bague               17:49:24            17:49:25            601ms
140223436543552     epee                17:49:24            17:49:25            401ms
140223453328960     porte               17:49:25            17:49:25            200ms
140223411365440     bague               17:49:24            17:49:25            601ms
140223428150848     chandelier          17:49:25            17:49:25            601ms
140223300236864     table               17:49:24            17:49:25            802ms
140223419758144     table               17:49:25            17:49:26            594ms
140223444936256     epee                17:49:25            17:49:26            601ms
140223436543552     coupe               17:49:25            17:49:26            794ms
140223428150848     table               17:49:25            17:49:26            400ms
140223453328960     porte               17:49:25            17:49:26            801ms
140223444936256     bague               17:49:26            17:49:26            400ms
140223411365440     coupe               17:49:25            17:49:26            801ms
140223436543552     bague               17:49:26            17:49:26            400ms
140223419758144     coupe               17:49:26            17:49:26            801ms
140223444936256     bague               17:49:26            17:49:26            200ms
140223428150848     porte               17:49:26            17:49:27            801ms
140223300236864     epee                17:49:26            17:49:27            601ms
140223453328960     coupe               17:49:26            17:49:27            801ms
140223411365440     table               17:49:26            17:49:27            601ms
140223419758144     chandelier          17:49:26            17:49:27            400ms
140223436543552     porte               17:49:26            17:49:27            601ms
140223444936256     chandelier          17:49:27            17:49:27            401ms
140223428150848     coupe               17:49:27            17:49:27            601ms
140223300236864     table               17:49:27            17:49:27            400ms
140223453328960     coupe               17:49:27            17:49:27            600ms
140223411365440     bague               17:49:27            17:49:27            600ms
140223436543552     coupe               17:49:27            17:49:28            600ms
140223453328960     chandelier          17:49:27            17:49:28            200ms
140223300236864     table               17:49:27            17:49:28            200ms
140223428150848     epee                17:49:27            17:49:28            600ms
140223419758144     porte               17:49:27            17:49:28            800ms
140223411365440     bague               17:49:28            17:49:28            200ms
140223436543552     epee                17:49:28            17:49:28            400ms
140223444936256     coupe               17:49:27            17:49:28            1001ms
140223453328960     porte               17:49:28            17:49:28            801ms
140223436543552     chandelier          17:49:28            17:49:28            200ms
140223428150848     porte               17:49:28            17:49:29            801ms
140223453328960     bague               17:49:28            17:49:29            200ms
140223300236864     coupe               17:49:28            17:49:29            1001ms
140223428150848     bague               17:49:29            17:49:29            200ms
140223419758144     porte               17:49:28            17:49:29            1201ms
140223411365440     porte               17:49:28            17:49:29            1201ms
140223444936256     porte               17:49:28            17:49:29            1001ms
140223436543552     porte               17:49:29            17:49:30            1001ms
140223453328960     coupe               17:49:29            17:49:30            1001ms
140223419758144     table               17:49:29            17:49:30            600ms
140223300236864     porte               17:49:29            17:49:30            1201ms
140223444936256     bague               17:49:30            17:49:30            400ms
140223428150848     porte               17:49:29            17:49:30            1201ms
140223436543552     bague               17:49:30            17:49:30            400ms
140223411365440     coupe               17:49:29            17:49:30            1000ms
140223453328960     bague               17:49:30            17:49:30            600ms
140223419758144     bague               17:49:30            17:49:31            600ms
140223428150848     epee                17:49:30            17:49:31            400ms
140223444936256     porte               17:49:30            17:49:31            400ms
140223300236864     bague               17:49:30            17:49:31            798ms
140223411365440     porte               17:49:30            17:49:31            400ms
140223453328960     epee                17:49:31            17:49:31            200ms
140223436543552     table               17:49:30            17:49:31            600ms
140223411365440     epee                17:49:31            17:49:31            200ms
140223428150848     table               17:49:31            17:49:31            600ms
140223436543552     chandelier          17:49:31            17:49:31            200ms
140223453328960     table               17:49:31            17:49:31            400ms
140223411365440     epee                17:49:31            17:49:31            200ms
140223419758144     porte               17:49:31            17:49:32            1001ms
140223428150848     bague               17:49:31            17:49:32            400ms
140223436543552     epee                17:49:31            17:49:32            201ms
140223300236864     porte               17:49:31            17:49:32            1001ms
140223428150848     chandelier          17:49:32            17:49:32            200ms
140223444936256     porte               17:49:31            17:49:32            1201ms
140223419758144     porte               17:49:32            17:49:32            600ms
140223411365440     coupe               17:49:32            17:49:32            800ms
140223453328960     table               17:49:31            17:49:32            999ms
140223300236864     coupe               17:49:32            17:49:33            799ms
140223436543552     bague               17:49:32            17:49:33            800ms
140223444936256     coupe               17:49:32            17:49:33            600ms
140223428150848     chandelier          17:49:32            17:49:33            800ms
140223419758144     porte               17:49:32            17:49:33            600ms
140223453328960     epee                17:49:33            17:49:33            400ms
